time;CycleCounter;ResetCounter
0.00000;0;
0.00079;;31
0.10355;;31
0.10389;1;
0.20591;;31
0.20626;2;
0.30794;;31
0.30828;3;
0.40895;;31
0.40930;4;
0.51094;;31
0.51130;5;
0.61197;;31
0.61230;6;
0.71594;;31
0.71718;7;
0.81953;;31
0.82049;8;
0.92292;;31
0.92345;9;
1.02503;;31
1.02536;10;
1.12690;;31
1.12730;11;
1.22885;;31
1.22917;12;
